696	Trá Bholgan	Trabolgan
697	Trácht Fhionn	Tracton
698	An Tulach	Tullagh
699	Tulach Léis	Tullylease
700	Baile an Fháltaigh	Wallstown
701	An Teampall Geal	Whitechurch
702	Eochaill	Youghal
704	Baile an Locha	Ballydeloughy
705	An Bhréagóg	Bregoge
707	Cill na Mallach	Buttevant
711	Cluain Dalláin	Clondulane
713	An Corrbhaile	Corbally
714	Currach Cheapáin	Currykippane
717	Domhnach Mór	Donaghmore
719	Drom Domhnaigh	Dromdowney
722	Dún Uisce	Dunisky
726	Cill Bhláin	Kilbolane
727	Cill Briotáin	Kilbrittain
728	Cill Brógáin	Kilbrogan
729	Cill Bhruaine	Kilbroney
730	Cill Coirne	Kilcorney
732	Cill Bhrógáin	Kilgrogan
734	Cill Aonamra	Killeenemer
735	Cill Mhic Léinín	Kilmaclenine
736	Cill Molúda	Kilmaloda
737	Cill Mhín	Kilmeen
741	Leac Fhinn	Lackeen
742	Lios Cearúill	Liscarroll
744	Maigh Cluana Aichidh	Macloneigh
745	Maigh Chromtha	Macroom
747	Maigh Rátha	Murragh
749	Seandrom	Shandrum
750	Paróiste Mhuire	St. Mary's, Shandon
751	An Eachlaisc	St. Nathlash
752	Paróiste San Nioclás	St. Nicholas
753	Teampall Ó Maoilíosa	Templeomalus
757	An Eaglais	Aglish
760	Cluain Téide	Clontead
764	Cionn tSáile	Kinsale
767	Tigh Sacsan	Tisaxon
768	Paróiste San Anna	St. Anne's, Shandon
769	Paróiste Fhionnbharra	St. Finbar's
771	Achadh nUinseann	Aghanunshin
772	-	Allsaints
773	Eachinis	Aughnish
774	An Bheart	Burt
775	Cluain Catha	Clonca
776	Cluain Dá Chorcach	Clondahorky
777	Cluain Dabhaodóg	Clondavaddog
778	Cluain Lao	Clonleigh
779	Cluain Maine	Clonmany
780	Conbháil	Conwal
781	Cúil Dabhcha	Culdaff
782	Díseart Éignigh	Desertegny
783	Domhnach	Donagh
784	Dún na nGall	Donegal
785	Droim Thuama	Drumhome
786	Fathain Íochtarach	Fahan Lower
787	Fathain Uachtarach	Fahan Upper
788	Gartán	Gartan
789	Gleann Cholm Cille	Glencolumbkille
790	Inis	Inch
791	Inis Caoil	Inishkeel
792	Inis Maí Samh	Inishmacsaint
793	Inbhear	Inver
794	Cill Bharrainn	Kilbarron
795	Cill Charthaigh	Kilcar
796	Cill Leacht Aodha	Killaghtee
797	Cill Fhéich	Killea
798	Na Cealla Beaga Íochtaracha	Killybegs Lower
799	Na Cealla Beaga Uachtaracha	Killybegs Upper
800	Cill Gharbháin	Killygarvan
801	Cill Ó mBaird	Killymard
802	Cill Mhic Réanáin	Kilmacrenan
803	Cill Taobhóg	Kilteevoge
804	Leitir Mhic an Bhaird	Lettermacaward
805	Míobhaigh	Mevagh
806	Na Mínte	Mintiaghs or Barr of Inch
807	Maigh Bhile Íochtarach	Moville Lower
808	Maigh Bhile Uachtarach	Moville Upper
809	Magh	Muff
810	Ráth Bhoth	Raphoe
811	-	Raymoghy
812	Ráith	Raymunterdoney
